"Symbol","Company Name","Sector","Industry"
"AMH-E","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMH-F","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMH-G","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMH-H","American Homes 4 Rent","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMHC","Amplitude Healthcare Acquisition Corp","",""
"AMK","AssetMark Financial Holdings Inc","Financials","Capital Markets"
"AMKR","Amkor Technology, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"AMN","AMN Healthcare Services, Inc.","Health Care","Health Care Providers & Services"
"AMNB","American National BankShares Inc","Financials","Banks"
"AMOT","Allied Motion Technologies, Inc.","Industrials","Electrical Equipment"
"AMOV","AMERICA MOVIL SA DE CV","Communication Services","Wireless Telecommunication Services"
"AMP","Ameriprise Financial, Inc.","Financials","Capital Markets"
"AMPE","Ampio Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"AMPH","Amphastar Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"AMPY","Amplify Energy Corp","Energy","Oil, Gas & Consumable Fuels"
"AMRB","American River Bankshares","Financials","Banks"
"AMRC","Ameresco Inc","Industrials","Construction & Engineering"
"AMRH","Ameri Holdings Inc","Information Technology","IT Services"
"AMRK","A-Mark Precious Metals Inc","Financials","Diversified Financial Services"
"AMRN","Amarin Corporation plc (ADR)","Health Care","Biotechnology"
"AMRS","Amyris Inc","Materials","Chemicals"
"AMRX","Amneal Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"AMS","American Shared Hospital Services","Health Care","Health Care Providers & Services"
"AMSC","American Superconductor Corporation","Industrials","Electrical Equipment"
"AMSF","Amerisafe, Inc.","Financials","Insurance"
"AMSWA","American Software, Inc.","Information Technology","Software"
"AMT","American Tower Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AMTB","Amerant Bancorp Inc","Financials","Banks"
"AMTD","TD Ameritrade Holding Corp.","Financials","Capital Markets"
